username, created_at, lng, lat, text
spiderman2100, Wed Jan 20 23:58:38 +0000 2021, -81.419390, 28.468787, https://t.co/G9D2NoDITN 
Du420clown1, Wed Jan 20 23:58:39 +0000 2021, -79.418222, 36.607196, Want one of these? https://t.co/Y1vk6yKX4j 
jamesburney32, Wed Jan 20 23:58:39 +0000 2021, -97.135638, 32.701850, @prolificking_ it’s all in the family 😂🤝 https://t.co/jADHXRoSjT 
reallydrryn, Wed Jan 20 23:58:39 +0000 2021, -95.824553, 29.783996, LMFAOOOO 
saturdaybloom, Wed Jan 20 23:58:39 +0000 2021, -97.753840, 31.079307, @_jiggab most times you can peep game from the jump. 
FlakoTaco, Wed Jan 20 23:58:39 +0000 2021, -95.446486, 29.838495, Need my cheeks clapped 
jbicha, Wed Jan 20 23:58:39 +0000 2021, -82.573675, 27.473975, No offense toward @POTUS but @TheAmandaGorman was the best speaker at today's #Inauguration 
SwaggerBaby242, Wed Jan 20 23:58:39 +0000 2021, -76.593943, 24.074967, Ingobernable #Nw 
Maleco_BC, Wed Jan 20 23:58:39 +0000 2021, -76.620482, 39.284713, 😂 facts 
naijajoke, Wed Jan 20 23:58:39 +0000 2021, -116.989920, 33.729378, Today was a powerful and historical day. https://t.co/vKeXQPt7lR 
psaraza_, Wed Jan 20 23:58:39 +0000 2021, -79.272570, 43.629311, Don’t you just miss the smell of fresh pandesal in the morning? 🇵🇭😋 Golden Bakeshop, a family-run business distribu… https://t.co/hcurwEXhnu 
GAK17, Wed Jan 20 23:58:39 +0000 2021, -83.482855, 42.542139, @DanLeach971 You are right DTM. Rest rarely ever works.  Just get the surgery and be right ASAP. 
DJPRYHME, Wed Jan 20 23:58:39 +0000 2021, -73.943996, 40.809197, MY NEW HOME STARTING THIS SATURDAY &amp; SUNDAY @titosbbqst COME VIBE WITH ME FROM 1-10 BRUNCH PARTY COME HAVE A DRINK… https://t.co/usmWwxQ6qQ 
roymathieu, Wed Jan 20 23:58:39 +0000 2021, -73.723025, 45.557830, @morininfo L'impact de la vitamine D est connu depuis mars 2020 🤷‍♂️ 
BlakeGJackson1, Wed Jan 20 23:58:39 +0000 2021, -83.804475, 27.698682, @chanelmamiiii 🤰🏾 
ellladlf, Wed Jan 20 23:58:39 +0000 2021, -115.223125, 36.232915, @pvrtymoth They said they’re closed..... no one’s help today fuck 
elleeffdblu, Wed Jan 20 23:58:39 +0000 2021, -87.322169, 36.550984, @DanRather @TheAmandaGorman She’s amazing. 
lindsymarie015, Wed Jan 20 23:58:40 +0000 2021, -105.550890, 38.997936, college is a money sucking, scam and no one can change my mind on that @ODU 
captnyuri, Wed Jan 20 23:58:40 +0000 2021, -83.804475, 27.698682, @JoeBiden them 1400 hitting tomorrow right 
I_Am_JVT, Wed Jan 20 23:58:40 +0000 2021, -86.680738, 32.576227, She elite 
temporal3, Wed Jan 20 23:58:40 +0000 2021, -79.272570, 43.629311, word 
crider_claude, Wed Jan 20 23:58:40 +0000 2021, -95.446486, 29.838495, yea ur cute, but are you emotionally available? 
biogirl09, Wed Jan 20 23:58:40 +0000 2021, -97.754724, 30.323346, @elonmusk @TesLatino @Tesla You rock too, @elonmusk! Thank you for all of your hard work! Hope I can see you someti… https://t.co/04ANtodTei 
LisaGNV, Wed Jan 20 23:58:40 +0000 2021, -83.804475, 27.698682, @MeganMaeve This 100%. 
BlueHeronFarmTX, Wed Jan 20 23:58:40 +0000 2021, -100.076888, 31.168893, @AngryBlackLady https://t.co/1iXvGbGWf2 
DwynWade, Wed Jan 20 23:58:40 +0000 2021, -92.204107, 34.841638, When Demi Lovato said “I’m out here looking like revenge”, that was TOP TIER songwriting! 🥵 
FloraDoehler, Wed Jan 20 23:58:40 +0000 2021, -66.265183, 44.457060, @KyleKulinski Wtf! Lol! He needs a new pillow all right! 
QueenReJi, Wed Jan 20 23:58:40 +0000 2021, -117.397616, 33.935822, #MadameVicePresident https://t.co/84wuJr0sBx 
ChrisKelly36, Wed Jan 20 23:58:40 +0000 2021, -77.163103, 39.087055, @Jarsenault Such wonderful news! Surely you’ll need experienced babysitters...Standing by! 👍👍👍@NearyDenise @ProfLizGrimm 
SnowDoll_, Wed Jan 20 23:58:40 +0000 2021, -84.433106, 33.767195, This will take sometime getting use too 
breechvnel, Wed Jan 20 23:58:40 +0000 2021, -74.188035, 40.001340, I sent my friends a dodge suv for our trip &amp; these bitches going say “we pulling up in the van on em”😭 
MsKrystalV, Wed Jan 20 23:58:40 +0000 2021, -71.326858, 42.636248, It’s finally lit! #ImSpeaking #InaugurationDay #MadamVicePresident @gayguycandleco https://t.co/Cks98a0K2H 
allendavis52, Wed Jan 20 23:58:40 +0000 2021, -82.669467, 40.365160, Funny how SpongeBob always works his ass off and Squidward hates his job and just doesn't give AF and Mr. Krabs jus… https://t.co/vriMMyNL1s 
KobeOverLeBron1, Wed Jan 20 23:58:40 +0000 2021, -92.342322, 34.721886, Yes I’m watching The Parent Trap for the millionth time and? 
tesstuitoek, Wed Jan 20 23:58:40 +0000 2021, -72.584698, 42.247740, @kog_mark they had really pushed so many plot points and it was time for them to wrap it up😅 
Dodger745, Wed Jan 20 23:58:40 +0000 2021, -87.504500, 37.323400, Drinking a Pepe Cinnamon Milk Stout by @YazooBrew @ West Lake Tap Room — https://t.co/mdBNTeikfA 
sallmiitta, Wed Jan 20 23:58:40 +0000 2021, -122.085776, 37.641271, Update 😭 he was about to order the wallet 🥴 he went on the website and saw that I lied 😂😂 but it’s ok I was able to… https://t.co/TK4ihH6i4Y 
yawningreyhound, Wed Jan 20 23:58:41 +0000 2021, -105.550890, 38.997936, @SenRickScott get a muzzle on your dogs. Really. After what just left the wh you've got the cojones to endorse… https://t.co/0a9j9EotsR 
EziomumeDaee, Wed Jan 20 23:58:41 +0000 2021, -84.667733, 34.053013, 🐝🐝 
PollardPiano, Wed Jan 20 23:58:41 +0000 2021, -77.618595, 37.656909, @apark2453 *thought 
twright55, Wed Jan 20 23:58:41 +0000 2021, -77.230881, 38.916761, Biden is giving press conference in the Oval Office this hour. 
jasonbohn9, Wed Jan 20 23:58:41 +0000 2021, -88.022231, 43.006113, @Nav49767614 @DanielBice @Mediaite @Gannett @jsonline @TheDemocrats Lol 
NIKESPRITE1, Wed Jan 20 23:58:41 +0000 2021, -87.732013, 41.833585, Need them boys to hoop 
calmofdaocean, Wed Jan 20 23:58:41 +0000 2021, -158.009327, 21.319071, Support Local💚 I just bought these stunningly beautiful Koa wood monstera leaf with sterling silver thread through.… https://t.co/ZpHnF63dpz 
Jonorm18, Wed Jan 20 23:58:41 +0000 2021, -75.117998, 40.004866, @TheDailyShow Trevor, tell him to get the fuck out of here with that bullshit!!! https://t.co/FNhclSIxsW 
EliBrayWX, Wed Jan 20 23:58:41 +0000 2021, -82.746962, 36.523465, @MikeLindenWX Well, this one is from the 80s. “I Love a Rainy Night”. There’s also some songs from Reba, Garth and… https://t.co/wDh4qmSIfI 
misslakin1, Wed Jan 20 23:58:41 +0000 2021, -96.291649, 30.585471, I just wanna be ✨appreciated✨ 
DArm91, Wed Jan 20 23:58:41 +0000 2021, -81.077407, 46.584181, @bonnie1019_Habs They generally are.  McDavid and Draisaitl are good.  Its after them.2 and RNH.  Them and Ottawa h… https://t.co/RZgFw0dwXY 
_yjd23_, Wed Jan 20 23:58:41 +0000 2021, -84.772176, 43.593853, just did my rounds .... 🦦 😂be tryna be sneaky nahhhhh i know where you at and what apartment u in 
daveyhubb, Wed Jan 20 23:58:41 +0000 2021, -83.381166, 42.571954, @SeanPBali @smokeshowwsn @easyspeakcast @mikeiavasile I agree ☝️ @mikeiavasile =glue 
bunnie56274335, Wed Jan 20 23:58:41 +0000 2021, -73.948775, 40.655138, @PDavis1992 @LeaderMcConnell That’s what Lying trump and McConnell with republicans have done to America Destroyed… https://t.co/bvUnVEFHR2 
511NY, Wed Jan 20 23:58:41 +0000 2021, -73.836799, 40.936798, Updated: Construction on #SprainBrookStateParkway Both directions from START ROUTE Sprain Brook State Parkway to Do… https://t.co/S0I3JLCxjx 
